customer_id,recency,frequency,monetary,age,tenure,web_visits,store_visits,complaints,returns_pct,loyalty_score,segment_truth
81,40,11,303.03,41,4.2,23,7,0,0.233,74,Occasional
82,4,12,554.79,38,9.6,20,7,0,0.197,85,Regular
83,5,8,703.67,58,2.8,27,5,1,0.284,14,Active
84,13,17,141.91,40,0,27,8,0,0.278,53,Active
85,38,10,508,42,8.4,24,5,0,0.045,47,Occasional
86,5,13,234.77,49,2.5,22,8,0,0.05,85,Active
87,13,11,513.12,36,9.9,24,4,0,0.071,19,Regular
88,13,9,436.1,49,3.3,25,6,2,0.115,9,Active
89,12,10,780.62,56,4.9,23,9,0,0.248,36,Active
90,19,13,119.97,43,2.8,20,6,0,0.242,60,Occasional
91,75,15,489.34,71,3.4,40,8,0,0.124,83,Dormant
92,47,11,865.79,66,9.5,22,10,1,0.032,16,Regular
93,71,12,939.42,18,5.2,29,8,1,0.187,52,Regular
94,36,8,602.75,70,7.1,26,12,0,0.075,85,Occasional
95,19,10,365.67,61,3.8,13,4,1,0.256,71,Occasional
96,52,15,413.01,64,1.7,19,7,0,0.256,94,Occasional
97,3,15,496.94,54,6.7,31,7,1,0.142,46,Active
98,13,8,164.36,41,5.6,22,10,0,0.281,6,Active
99,30,11,511.57,54,3,25,9,0,0.207,53,Regular
100,17,11,1225.45,32,1.9,28,6,0,0.11,68,Regular
101,38,14,1742.96,78,0.2,33,4,0,0.068,46,Regular
102,11,15,279.66,35,1.3,19,9,0,0.08,58,Active
103,17,11,547.71,23,9.4,29,5,2,0.245,8,Regular
104,57,12,326.94,57,2.7,29,9,0,0.101,60,Occasional
105,107,9,324.47,54,6.5,27,9,1,0.126,56,Dormant
106,11,8,1183.66,39,2.9,28,8,1,0.127,19,Active
107,59,12,907.3,35,1.6,31,6,0,0.146,74,Regular
108,2,19,119.96,59,6.7,28,6,0,0.039,92,Active
109,55,12,276.19,56,8.2,27,7,1,0.281,11,Occasional
110,23,10,466.23,31,6.1,23,11,0,0.2,28,Occasional
111,56,9,178.77,48,3.2,25,8,0,0.074,11,Occasional
112,14,10,1920.5,55,4.6,37,6,0,0.105,83,Active
113,40,12,71.72,24,2.5,24,3,1,0.254,99,Occasional
114,40,16,412.7,58,5,28,7,0,0.194,43,Occasional
115,24,14,628.3,80,8.5,26,11,0,0.196,59,Regular
116,19,10,611.99,20,3.2,32,10,3,0.201,68,Occasional
117,6,12,1352.66,44,8.7,27,7,1,0.045,67,Regular
118,18,15,500.7,40,1.5,23,8,0,0.161,74,Regular
119,16,14,242.63,39,3.1,20,9,1,0.216,5,Occasional
120,7,14,252.27,42,1,20,5,0,0.276,56,Active
121,22,7,288.24,43,2.9,26,9,0,0.178,91,Occasional
122,15,8,900.32,80,0.8,16,10,0,0.213,65,Occasional
123,15,17,542.64,59,7.4,24,9,1,0.272,24,Regular
124,3,16,2867.3,40,6.8,27,5,0,0.253,81,VIP
125,25,8,610.68,39,1.4,24,7,2,0.234,4,Occasional
126,58,17,508.12,65,1.3,25,7,0,0.29,18,Regular
127,17,9,524.96,35,7.6,23,5,1,0.168,20,Occasional
128,43,8,1043.36,40,9.8,25,8,1,0.036,3,Occasional
129,43,13,601.9,29,0.2,20,8,0,0.248,94,Regular
130,67,23,169.72,73,5.9,24,4,0,0.277,34,Dormant
131,86,10,572.11,46,8.3,29,9,0,0.179,96,Dormant
132,15,15,226.87,49,9.2,27,6,0,0.152,37,Occasional
133,14,14,166.26,45,6.9,29,6,0,0.246,54,Active
134,11,8,138.35,55,6.8,27,10,1,0.278,100,Active
135,24,10,206.65,45,4,21,9,0,0.06,48,Occasional
136,5,16,645.87,48,4,27,9,1,0.243,70,Regular
137,3,15,704.13,28,3.1,20,8,0,0.073,7,Regular
138,9,9,342.77,40,7.9,26,8,0,0.102,7,Active
139,31,5,613.51,48,6.9,15,8,1,0.276,95,Occasional
140,93,15,678.02,45,7.6,27,14,0,0.023,5,Regular
141,33,11,455.26,34,3.9,31,7,0,0.152,14,Occasional
142,3,7,1041.82,31,0.3,19,10,0,0.056,7,Active
143,4,7,1041.81,59,1.7,21,7,0,0.255,18,Active
144,3,10,267.99,68,2.2,17,8,1,0.207,56,Active
145,7,10,937.7,44,4.8,30,10,0,0.019,90,Active
146,28,10,715.89,78,4.7,25,7,0,0.239,32,Occasional
147,56,6,161.83,49,1.3,31,9,0,0.236,42,Occasional
148,100,17,241.87,57,4.3,22,12,0,0.086,71,Dormant
149,45,17,275.49,22,7.2,30,6,1,0.158,77,Occasional
150,108,7,241.5,74,8.5,16,6,0,0.272,72,Dormant
151,2,11,240.44,46,6,24,4,1,0.223,33,Active
152,41,14,559.71,34,4.6,31,8,1,0.182,86,Regular
153,65,11,554.96,39,5.7,29,9,0,0.069,88,Regular
154,4,10,986.97,58,4.6,17,10,1,0.299,71,Active
155,66,10,686.78,37,2.3,20,14,1,0.059,27,Dormant
156,62,12,82.22,18,0.3,29,7,0,0.113,61,Dormant
157,3,23,232.77,50,7.9,24,7,0,0.007,28,Active
158,24,8,794.43,35,8.3,24,6,1,0.179,14,Occasional
159,25,9,195.18,58,4.9,28,5,1,0.08,99,Occasional
160,2,5,4211.66,67,0.8,26,8,0,0.228,49,Occasional
161,115,14,714.96,35,6.9,28,6,1,0.194,7,Regular
162,18,11,561.95,46,1.8,23,5,0,0.224,19,Regular
163,74,12,1371.44,68,6.3,30,5,0,0,96,Regular
164,7,3,295.4,53,2.9,28,7,1,0.21,54,Occasional
165,13,15,679.31,39,4.6,23,6,0,0.211,48,Regular
166,69,14,781.2,74,7.9,22,6,0,0.092,50,Regular
167,44,5,509.7,36,1.1,23,7,1,0.112,44,Occasional
168,4,14,174.36,56,0.5,26,8,0,0.283,67,Active
169,3,17,166.44,45,4.3,26,13,1,0.213,45,Active
170,24,13,293.6,28,6.6,21,5,1,0.294,89,Occasional
171,31,8,186.08,35,8.7,22,5,0,0.265,18,Occasional
172,29,23,347.73,41,6.4,40,5,1,0.101,56,Occasional
173,39,13,1502.35,22,3.1,26,6,1,0.189,27,Regular
174,28,14,583.47,27,2.7,20,8,0,0.106,27,Regular
175,101,9,405.48,63,8.2,25,6,1,0.149,61,Dormant
176,57,9,692,34,2.6,16,9,0,0.226,87,Occasional
177,4,7,753.19,54,9.2,29,7,0,0.204,22,Active
178,110,10,300.46,60,5.2,24,11,0,0.062,5,Dormant
179,32,15,220.76,25,1.2,25,14,2,0.289,15,Occasional
180,119,15,1447.25,80,3.6,27,7,0,0.033,67,Regular
181,29,15,1910.19,48,1.1,24,12,2,0.032,67,Regular
182,37,10,342.47,62,6.5,22,3,0,0.225,11,Occasional
183,31,14,149.37,33,1.7,26,9,0,0.039,57,Occasional
184,75,16,157.67,23,8.5,27,7,0,0.161,16,Dormant
185,15,22,759.46,53,9.1,36,12,0,0.12,24,Regular
186,6,13,381.69,42,4.8,28,4,0,0.264,11,Active
187,46,12,649.98,63,2.8,19,10,1,0.048,19,Regular
188,84,8,227.25,24,5.3,32,10,2,0.073,7,Dormant
189,22,12,3223.39,61,6.6,25,9,2,0.262,91,Regular
190,8,7,409.81,42,2.2,25,7,1,0.063,89,Active
191,50,8,297.82,18,5.1,23,12,1,0.223,30,Occasional
192,29,5,511.54,56,3.5,23,8,0,0.006,90,Occasional
193,28,13,74.75,48,0.8,20,6,0,0.031,11,Occasional
194,73,12,236.88,38,9.1,26,6,1,0.261,2,Dormant
195,77,16,239.46,28,1.7,31,8,0,0.12,59,Dormant
196,48,12,173.68,42,6.2,20,16,0,0.122,91,Occasional
197,9,15,544.17,37,9.2,24,8,0,0.074,21,Regular
198,9,14,411.25,44,4.4,31,11,0,0.051,0,Active
199,38,9,615.76,50,3.1,17,11,2,0.06,95,Occasional
200,46,13,209.56,49,2.4,31,6,2,0.237,25,Occasional
201,24,12,2278.07,42,8.8,27,3,1,0.22,79,Regular
202,4,3,379.55,50,3.8,24,9,0,0.01,38,Occasional
203,7,13,174.77,54,5.1,36,10,0,0.143,36,Active
204,13,14,208.55,31,8.3,23,4,0,0.163,31,Active
205,15,16,716.47,26,1.7,25,13,0,0.149,96,Regular
206,0,17,306.95,18,8,29,10,1,0.297,15,Active
207,39,15,268.22,57,4.2,32,15,0,0.24,48,Occasional
208,11,16,2683.75,69,5.1,33,11,0,0.126,97,VIP
209,27,15,454.38,52,8.2,27,6,1,0.063,52,Occasional
210,19,16,443.24,53,7.1,18,9,2,0.26,2,Occasional
211,26,16,281.41,68,1.4,36,10,0,0.035,8,Occasional
212,40,6,353.29,52,0.7,19,5,0,0.258,30,Occasional
213,76,14,411.42,54,3.2,23,5,1,0.207,94,Dormant
214,18,9,956.75,28,2.4,17,8,0,0.053,87,Occasional
215,34,18,217.74,44,9.6,26,10,1,0.192,19,Occasional
216,92,13,714.93,29,1.6,18,12,0,0.256,26,Regular
217,93,15,1957.22,56,0,22,7,0,0.178,19,Regular
218,8,11,116.76,49,5.8,32,10,0,0.24,82,Active
219,9,12,635.3,18,4.6,27,4,2,0.009,18,Regular
220,68,11,828.06,60,6.9,23,9,1,0.032,33,Regular
221,51,11,651.64,46,7.6,26,13,1,0.034,9,Regular
222,14,18,2835.64,61,9.8,20,5,1,0.073,61,VIP
223,35,13,566.21,59,6.7,27,7,2,0.012,81,Regular
224,27,13,1463.4,67,4.4,23,11,0,0.256,79,Regular
225,12,11,3118.93,46,9.2,26,12,0,0.267,72,Regular
226,6,9,182.1,18,9.2,24,6,0,0.154,81,Active
227,76,15,770.8,51,4.1,22,3,0,0.191,97,Regular
228,29,9,492.39,46,9.9,23,7,1,0.223,44,Occasional
229,15,9,1619.66,45,2.3,25,8,0,0.224,3,Occasional
230,83,8,395.55,36,9.3,27,6,0,0.251,72,Dormant
231,13,15,240.92,40,5.9,29,4,1,0.168,92,Active
232,2,15,574.42,49,7.1,20,8,0,0.126,22,Regular
233,95,10,394.54,54,8.2,25,8,0,0.273,67,Dormant
234,27,19,1041.14,39,5.2,28,9,2,0.07,51,VIP
235,6,12,355.95,44,1,27,10,0,0.021,12,Active
236,19,13,893.72,20,9.3,27,6,0,0.015,38,Regular
237,79,13,1307.08,55,3.3,26,9,0,0.226,39,Regular
238,2,14,1828.76,65,8,23,11,0,0.148,67,Regular
239,11,6,344.41,46,4.6,21,3,0,0.109,59,Active
240,52,12,362.1,53,3,21,7,0,0.053,57,Occasional
241,11,14,655.23,35,7.1,38,11,3,0.199,56,Regular
242,69,9,984.22,56,7.3,30,10,0,0.015,94,Dormant
243,118,16,510.76,54,6,22,14,1,0.004,3,Regular
244,1,15,310,49,2,22,9,0,0.054,79,Active
245,8,15,778.28,31,1.6,19,9,0,0.087,64,Regular
246,41,13,712.47,47,5.5,22,4,1,0.089,70,Regular
247,2,9,498.07,62,2.7,25,10,2,0.065,99,Active
248,23,13,490.98,34,3.4,20,10,1,0.091,47,Occasional
249,73,14,1147.04,41,4.3,26,6,0,0.295,21,Regular
250,37,12,1093.42,40,7.1,22,2,0,0.182,49,Regular
251,65,9,1933.48,26,6.2,34,15,1,0.16,10,Dormant
252,48,16,1349.47,31,8.9,23,4,0,0.222,89,VIP
253,22,11,2308.16,55,0.2,21,11,1,0.01,19,Regular
254,17,9,534.74,72,0.3,33,7,1,0.178,41,Occasional
255,22,17,821.59,20,2,31,9,1,0.192,61,Regular
256,38,13,623.84,30,1.4,27,12,0,0.22,46,Regular
257,3,17,2273.95,44,4.2,30,10,0,0.098,81,VIP
258,67,8,649.85,80,5.1,28,5,0,0.208,26,Dormant
259,28,7,940.73,54,1.5,20,7,0,0.123,71,Occasional
260,1,12,1278.42,54,9,18,7,0,0.12,60,Regular
261,1,8,1335.37,25,0,22,6,0,0,17,Active
262,3,16,608.01,53,0.4,29,7,1,0.203,50,Regular
263,23,13,601.13,51,9.2,39,6,0,0.147,26,Regular
264,106,16,2878.65,30,6.5,22,11,0,0.102,27,VIP
265,40,11,352.43,31,9.8,29,8,0,0.263,63,Occasional
266,44,14,2161.96,21,3.3,23,11,3,0.187,22,Regular
267,9,13,937.64,53,8.9,30,11,0,0.07,79,Regular
268,8,10,198.44,39,4.6,23,11,0,0.028,92,Active
269,27,17,787.6,37,9,24,13,0,0.25,17,Regular
270,24,15,1110.88,47,9.1,27,4,0,0.049,96,Regular
271,10,9,309.49,50,2,22,8,1,0.101,25,Active
272,91,19,139.99,43,6.1,26,7,0,0.092,23,Dormant
273,10,10,233.3,31,9.1,19,10,0,0.118,67,Active
274,40,11,981.73,70,8.9,21,7,1,0.086,73,Regular
275,28,12,562.79,74,0.9,32,7,0,0.055,56,Regular
276,21,15,1610.43,61,0.3,29,7,1,0.207,42,Regular
277,10,19,527.31,25,2.6,27,16,0,0.159,54,Regular
278,8,14,713.2,63,9.8,20,9,1,0.296,78,Regular
279,70,10,222.67,34,0.5,25,6,1,0.082,15,Dormant
280,20,9,58.69,29,8,25,10,1,0.137,30,Occasional
281,67,6,231.06,53,0.8,34,6,0,0.116,15,Dormant
282,69,10,594.05,44,5.4,23,8,0,0.093,56,Dormant
283,57,12,124.63,55,3.2,20,5,0,0.028,90,Occasional
284,38,7,1800.31,39,0.8,17,8,0,0.095,8,Occasional
285,0,8,413.51,42,7.4,36,7,0,0.022,67,Active
286,10,7,90.65,24,0.7,23,9,0,0.109,87,Active
287,33,16,495.12,62,0.4,32,9,0,0.241,58,Occasional
288,53,7,114.15,52,0.3,24,9,0,0.216,69,Occasional
289,17,13,526.8,25,4.6,27,7,0,0.133,48,Regular
290,54,14,910.15,50,8.8,26,14,0,0.017,49,Regular
291,43,12,441.63,69,0.9,26,4,2,0.102,55,Occasional
292,9,8,1250.79,50,9.7,26,3,0,0,77,Active
293,43,9,709.6,61,2.9,30,5,1,0.116,87,Occasional
294,29,9,308.1,44,2.1,21,5,0,0.139,57,Occasional
295,56,7,217.04,44,7.2,19,12,1,0.091,11,Occasional
296,16,10,1025.42,27,5.4,21,6,0,0.252,94,Occasional
297,27,18,580.12,41,7.7,27,5,0,0.22,78,Regular
298,51,22,260.72,18,6.5,32,7,0,0.186,14,Occasional
299,85,11,1037.38,53,5.2,17,10,0,0.035,18,Regular
300,44,13,832.28,27,8.5,19,7,0,0.187,67,Regular
301,54,9,863.21,20,1.7,21,8,2,0.224,76,Occasional
302,1,12,1057.47,80,9.8,23,11,1,0.155,76,Regular
303,19,14,522.19,57,4.9,24,3,1,0.013,24,Regular
304,74,15,370.94,61,2.2,26,11,2,0.191,18,Dormant
305,47,9,1936.71,49,9.8,25,8,0,0.266,92,Occasional
306,3,12,1731.71,33,1.1,30,7,1,0.226,30,Regular
307,16,12,884.65,44,2.9,24,4,0,0.199,39,Regular
308,48,5,686.54,20,4.9,30,8,0,0.011,67,Occasional
309,31,10,850.54,18,0.6,28,8,1,0.073,45,Occasional
310,49,13,415.65,48,1.8,29,9,0,0.293,83,Occasional
311,23,14,983.24,40,0,27,8,0,0.197,33,Regular
312,33,13,858.17,37,5.3,20,8,0,0.066,72,Regular
313,5,10,964.43,26,5.9,31,8,1,0.192,92,Active
314,19,13,112.73,67,4.2,24,6,0,0.159,76,Occasional
315,3,10,672.22,29,5,22,6,0,0.259,76,Active
316,9,17,657.58,19,0.8,20,6,0,0.05,42,Regular
317,11,11,427.27,49,5.5,17,6,0,0.256,99,Active
318,84,9,853.24,54,6.3,25,6,1,0.245,12,Dormant
319,6,13,1096.92,37,6.5,25,7,0,0.3,91,Regular
320,5,13,89.87,48,5,23,4,0,0.049,62,Active
321,9,13,296.37,37,0.6,28,10,0,0.273,97,Active
322,21,11,234.22,69,4.7,23,8,0,0.177,74,Occasional
323,2,10,62.66,50,1.8,20,11,2,0.204,82,Active
324,1,10,391.46,18,6.9,25,8,0,0.204,6,Active
325,56,13,296.43,31,5.5,29,6,0,0.054,72,Occasional
326,1,10,1233.29,58,9.3,32,13,0,0.091,39,Active
327,53,5,217.8,70,6.3,23,5,1,0.001,81,Occasional
328,4,13,1032.21,31,5.2,22,12,1,0.111,49,Regular
329,16,8,175.95,48,5.7,34,5,0,0.283,26,Occasional
330,10,11,2052.9,35,7.7,36,8,0,0.246,70,Regular
331,48,13,436.53,78,3,27,7,0,0.052,32,Occasional
332,4,17,439.46,36,7.9,22,7,0,0.013,94,Active
333,45,15,464.68,59,0.2,20,10,0,0.01,16,Occasional
334,64,9,431.92,40,3.5,18,11,1,0.254,53,Dormant
335,24,11,444.14,50,1.3,24,10,1,0.131,21,Occasional
336,16,9,228.85,28,2.6,21,12,0,0.214,6,Occasional
337,61,13,181.62,45,6,28,7,1,0.038,18,Dormant
338,99,10,188.13,53,2.9,20,12,0,0.056,88,Dormant
339,90,13,342.01,22,0.8,26,4,1,0.09,29,Dormant
340,25,14,623.53,62,0.3,37,7,1,0.19,46,Regular
341,33,11,262.43,42,8.9,10,13,0,0.174,46,Occasional
342,14,13,714.7,20,4.5,29,9,0,0.252,5,Regular
343,21,9,491.16,50,9,26,10,0,0.28,87,Occasional
344,1,13,170.44,50,9.5,25,10,0,0.122,87,Active
345,16,8,709.25,40,3.7,27,14,2,0.262,85,Occasional
346,8,10,941.71,45,0.9,21,5,0,0.274,30,Active
347,61,12,124.1,60,4.1,27,11,0,0.293,96,Dormant
348,0,14,1011.06,33,2.8,28,9,0,0.172,35,Regular
349,107,7,334.22,51,0.2,30,6,0,0.17,48,Dormant
350,116,10,389.98,40,7.2,20,9,1,0.059,90,Dormant
351,55,16,1082.64,18,4.6,25,12,0,0.216,69,VIP
352,62,9,250.67,58,2.9,21,17,0,0.238,90,Dormant
353,41,7,2833.02,49,3.2,19,9,0,0.281,63,Occasional
354,27,10,100.49,28,6.4,27,11,0,0.205,59,Occasional
355,20,12,502.05,18,7.1,27,3,1,0.115,87,Regular
356,38,9,387.89,41,1.6,20,9,0,0.004,9,Occasional
357,22,10,825.7,60,9.4,22,9,1,0.283,51,Occasional
358,27,13,440.38,61,8.5,25,10,0,0.257,29,Occasional
359,17,15,249.09,30,7.2,26,10,0,0.203,11,Occasional
360,27,12,1345.34,42,9.6,37,6,1,0.111,56,Regular
361,1,12,854.09,23,7.2,16,5,1,0.228,29,Regular
362,24,9,741.34,49,2.4,28,8,0,0.2,19,Occasional
363,31,10,525.12,58,1.7,24,8,0,0.235,67,Occasional
364,1,7,549.33,64,3.2,27,7,0,0.158,81,Active
365,11,5,509.29,65,9.4,29,13,2,0.032,42,Occasional
366,33,11,300.86,41,6,16,8,0,0.038,18,Occasional
367,20,14,866.63,44,9.2,25,8,0,0.29,64,Regular
368,2,9,401.14,51,6.3,19,6,2,0.027,71,Active
369,28,13,202.07,35,3,29,4,1,0.133,52,Occasional
370,45,11,796.07,51,4.1,24,9,0,0.152,68,Regular
371,12,13,323.38,63,0.6,30,5,2,0.187,14,Active
372,22,6,691.06,18,2.7,25,11,1,0.046,6,Occasional
373,31,17,771.24,55,5.5,18,8,0,0.14,64,Regular
374,31,16,383.69,30,7.3,26,10,0,0.192,26,Occasional
375,46,16,802.41,64,8.7,17,9,1,0.138,81,Regular
376,4,16,460.3,57,0.7,22,5,0,0.13,0,Active
377,13,7,471.03,55,6.1,44,9,0,0.228,18,Active
378,73,11,465.87,49,2.5,23,11,1,0.186,22,Dormant
379,13,13,652.9,40,9.1,17,7,1,0.236,99,Regular
380,28,18,229.06,60,2,26,5,0,0.083,44,Occasional
381,74,12,1339.62,43,8.6,27,6,0,0.099,3,Regular
382,1,13,680.47,51,9.4,25,9,0,0.287,47,Regular
383,12,13,290.07,63,1.5,21,15,0,0.092,86,Active
384,25,13,85.28,62,3.2,27,14,0,0.132,91,Occasional
385,11,14,182.53,64,6,28,11,1,0.162,80,Active
386,23,11,422.61,55,8.9,26,11,1,0.189,6,Occasional
387,27,10,1568.07,50,3.4,25,8,1,0.117,38,Occasional
388,7,7,384.73,21,7.7,32,6,0,0.186,49,Active
389,53,14,279.77,65,1.4,19,4,1,0.183,19,Occasional
390,27,11,335.33,38,5.9,16,2,0,0.204,57,Occasional
391,23,13,1115.25,57,2.7,33,2,0,0.149,7,Regular
392,38,9,149.61,46,4.4,27,8,0,0.035,4,Occasional
393,78,8,276.99,45,2.7,23,11,1,0.015,71,Dormant
394,44,11,330.23,46,7.6,18,9,0,0.144,48,Occasional
395,47,11,109.26,57,8.1,18,10,1,0.08,73,Occasional
396,36,15,1940.65,63,8.7,25,12,1,0.102,6,Regular
397,36,9,1235.58,23,7.6,25,8,0,0.242,23,Occasional
398,31,17,1022.68,42,4.9,20,6,3,0.156,80,VIP
399,19,13,2279.59,40,0.9,25,9,0,0.161,37,Regular
400,43,9,374.36,48,0.6,23,4,1,0.016,70,Occasional
401,65,10,228.3,52,1.8,30,6,0,0.101,4,Dormant
402,1,10,187.74,52,1.1,24,6,1,0.099,63,Active
403,12,10,556.09,62,0.9,22,6,0,0.216,4,Active
404,2,10,4063.58,19,6.6,20,8,0,0.283,20,Active
405,9,22,502.11,18,1.8,19,8,0,0.148,19,Regular
406,16,4,271.8,50,0.2,27,5,1,0.217,29,Occasional
407,0,9,1011.49,18,9.6,25,7,0,0.169,95,Active
408,60,9,467.6,18,1.7,32,5,0,0.122,43,Occasional
409,13,5,1883.84,57,7.3,30,6,2,0.226,99,Occasional
410,16,16,581.02,63,6.5,35,6,0,0.142,52,Regular
411,12,13,1517.37,49,6.3,23,8,0,0.16,57,Regular
412,58,15,302.51,50,3.8,24,7,0,0.191,11,Occasional
413,27,10,333.93,47,7.6,33,7,0,0.186,7,Occasional
414,30,13,965.26,61,6.6,19,6,1,0.21,80,Regular
415,4,12,786.05,33,2.6,26,9,1,0.029,71,Regular
416,8,15,538.96,70,4.7,25,7,1,0.292,35,Regular
417,14,15,1995.36,52,2,28,8,0,0.143,6,Regular
418,18,8,377.43,28,7.8,15,11,1,0.153,100,Occasional
419,13,17,265.9,54,9.9,26,4,0,0.05,51,Active
420,37,4,95.15,21,2.4,25,12,0,0.126,53,Occasional
421,27,12,1181.63,34,4.9,28,7,1,0.209,75,Regular
422,87,9,543.58,24,0.4,25,8,0,0.167,92,Dormant
423,8,8,157.81,35,8.5,24,8,0,0.282,97,Active
424,45,14,1747,60,8.8,30,8,0,0.277,42,Regular
425,36,7,292.82,29,3,21,3,0,0.099,13,Occasional
426,28,9,1428.25,69,1.5,26,5,0,0.214,51,Occasional
427,19,13,2776.78,40,5.3,22,13,0,0.174,73,Regular
428,35,10,422.82,18,8,19,7,1,0.028,88,Occasional
429,30,13,1225.74,72,8.6,23,7,0,0.163,77,Regular
430,39,8,184.52,49,5.4,24,7,0,0.249,26,Occasional
431,19,7,87.47,58,0.4,28,8,0,0.221,25,Occasional
